"exp","set_id","cond","A_level","B_level","role","context","sentence","critical_region","cq_question","cq_options","cq_answer","list","norm_status","note"
"E3","01","a","A1","B1","target","화자는 대학원 석사 과정 학생이다. 지금 지도교수에게 자기 동생 이야기를 하고 있다. 동생은 화자보다 여섯 살 어린 고등학생이다.","동생이 이번 방학에 혼자 기타를 배우기 시작하셨어요.","시작하셨어요","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(동생)|둘 다|아무도 없다","둘 다","4","부적격(비높임 주어에 -시-)","청자 유형: 교수·교사(지도교수) / 주어 유형: 동생 / 서술어: 시작하다 / 근거: 주어(동생)는 화자·청자 모두보다 아래라 -시-의 허가자가 없음. -요(청자 높임)와 별개 | 검수수정: context '지도교수님께' → '지도교수에게' (P4 규격 '맥락 안에서 -시-나 높임 어휘로 관계를 암시하지 않는다' 위반 — A1 맥락에만 높임 형태 -님·-께가 들어가 청자 지위와 높임 문자열 단서가 겹침. E1·E2 맥락과 같은 서술 방식으로 맞춤) | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","01","b","A1","B2","target","화자는 대학원 석사 과정 학생이다. 지금 지도교수에게 자기 동생 이야기를 하고 있다. 동생은 화자보다 여섯 살 어린 고등학생이다.","동생이 이번 방학에 혼자 기타를 배우기 시작했어요.","시작했어요","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(동생)|둘 다|아무도 없다","듣는 사람","1","적격(주어에 -시- 없음, 해요체로 청자 높임)","청자 유형: 교수·교사(지도교수) / 주어 유형: 동생 / 서술어: 시작하다 / 근거: 주어에 -시- 없음, 청자 높임은 -요로만 실현 | 검수수정: context '지도교수님께' → '지도교수에게' (P4 규격 '맥락 안에서 -시-나 높임 어휘로 관계를 암시하지 않는다' 위반 — A1 맥락에만 높임 형태 -님·-께가 들어가 청자 지위와 높임 문자열 단서가 겹침. E1·E2 맥락과 같은 서술 방식으로 맞춤) | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","01","c","A2","B1","target","화자는 대학원 석사 과정 학생이다. 지금 동갑 친구에게 자기 동생 이야기를 하고 있다. 동생은 화자보다 여섯 살 어린 고등학생이다.","동생이 이번 방학에 혼자 기타를 배우기 시작하셨어.","시작하셨어","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(동생)|둘 다|아무도 없다","이야기 속 인물(동생)","2","부적격(비높임 주어에 -시-)","청자 유형: 교수·교사(지도교수) / 주어 유형: 동생 / 서술어: 시작하다 / 근거: 주어(동생)는 화자보다 아래라 -시-의 허가자가 없음 | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","01","d","A2","B2","target","화자는 대학원 석사 과정 학생이다. 지금 동갑 친구에게 자기 동생 이야기를 하고 있다. 동생은 화자보다 여섯 살 어린 고등학생이다.","동생이 이번 방학에 혼자 기타를 배우기 시작했어.","시작했어","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(동생)|둘 다|아무도 없다","아무도 없다","3","적격(주어에 -시- 없음, 동갑 청자에게 해체)","청자 유형: 교수·교사(지도교수) / 주어 유형: 동생 / 서술어: 시작하다 / 근거: -시- 없음, 동갑 친구에게 해체 | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","02","a","A1","B1","target","화자는 대학원 박사 과정 학생이다. 지금 지도교수에게 같은 연구실 후배 이야기를 하고 있다. 후배는 화자보다 네 살 어린 석사 과정 신입생이다.","후배가 지난주에 실험 장비 사용법을 금방 익히셨어요.","익히셨어요","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(후배)|둘 다|아무도 없다","둘 다","3","부적격(비높임 주어에 -시-)","청자 유형: 교수·교사(지도교수) / 주어 유형: 후배 / 서술어: 익히다 / 근거: 주어(후배)는 화자·청자 모두보다 아래라 -시-의 허가자가 없음. -요(청자 높임)와 별개 | 검수수정: context '지도교수님께' → '지도교수에게' (P4 규격 '맥락 안에서 -시-나 높임 어휘로 관계를 암시하지 않는다' 위반 — A1 맥락에만 높임 형태 -님·-께가 들어가 청자 지위와 높임 문자열 단서가 겹침. E1·E2 맥락과 같은 서술 방식으로 맞춤) | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","02","b","A1","B2","target","화자는 대학원 박사 과정 학생이다. 지금 지도교수에게 같은 연구실 후배 이야기를 하고 있다. 후배는 화자보다 네 살 어린 석사 과정 신입생이다.","후배가 지난주에 실험 장비 사용법을 금방 익혔어요.","익혔어요","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(후배)|둘 다|아무도 없다","듣는 사람","4","적격(주어에 -시- 없음, 해요체로 청자 높임)","청자 유형: 교수·교사(지도교수) / 주어 유형: 후배 / 서술어: 익히다 / 근거: 주어에 -시- 없음, 청자 높임은 -요로만 실현 | 검수수정: context '지도교수님께' → '지도교수에게' (P4 규격 '맥락 안에서 -시-나 높임 어휘로 관계를 암시하지 않는다' 위반 — A1 맥락에만 높임 형태 -님·-께가 들어가 청자 지위와 높임 문자열 단서가 겹침. E1·E2 맥락과 같은 서술 방식으로 맞춤) | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","02","c","A2","B1","target","화자는 대학원 박사 과정 학생이다. 지금 동갑 친구에게 같은 연구실 후배 이야기를 하고 있다. 후배는 화자보다 네 살 어린 석사 과정 신입생이다.","후배가 지난주에 실험 장비 사용법을 금방 익히셨어.","익히셨어","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(후배)|둘 다|아무도 없다","이야기 속 인물(후배)","1","부적격(비높임 주어에 -시-)","청자 유형: 교수·교사(지도교수) / 주어 유형: 후배 / 서술어: 익히다 / 근거: 주어(후배)는 화자보다 아래라 -시-의 허가자가 없음 | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","02","d","A2","B2","target","화자는 대학원 박사 과정 학생이다. 지금 동갑 친구에게 같은 연구실 후배 이야기를 하고 있다. 후배는 화자보다 네 살 어린 석사 과정 신입생이다.","후배가 지난주에 실험 장비 사용법을 금방 익혔어.","익혔어","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(후배)|둘 다|아무도 없다","아무도 없다","2","적격(주어에 -시- 없음, 동갑 청자에게 해체)","청자 유형: 교수·교사(지도교수) / 주어 유형: 후배 / 서술어: 익히다 / 근거: -시- 없음, 동갑 친구에게 해체 | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","03","a","A1","B1","target","화자는 대학교 3학년 학생이다. 지금 전공 교수에게 자기 사촌 동생 이야기를 하고 있다. 사촌 동생은 올해 대학 입시를 치른 고등학교 3학년이다.","사촌 동생이 이번 입시에서 경영학과에 최종 합격하셨어요.","합격하셨어요","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(사촌 동생)|둘 다|아무도 없다","둘 다","2","부적격(비높임 주어에 -시-)","청자 유형: 교수·교사(전공 교수) / 주어 유형: 사촌 동생 / 서술어: 합격하다 / 근거: 주어(사촌 동생)는 화자·청자 모두보다 아래라 -시-의 허가자가 없음. -요(청자 높임)와 별개 | 검수수정: context '전공 교수님께' → '전공 교수에게' (P4 규격 '맥락 안에서 -시-나 높임 어휘로 관계를 암시하지 않는다' 위반 — A1 맥락에만 높임 형태 -님·-께가 들어가 청자 지위와 높임 문자열 단서가 겹침. E1·E2 맥락과 같은 서술 방식으로 맞춤) | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","03","b","A1","B2","target","화자는 대학교 3학년 학생이다. 지금 전공 교수에게 자기 사촌 동생 이야기를 하고 있다. 사촌 동생은 올해 대학 입시를 치른 고등학교 3학년이다.","사촌 동생이 이번 입시에서 경영학과에 최종 합격했어요.","합격했어요","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(사촌 동생)|둘 다|아무도 없다","듣는 사람","3","적격(주어에 -시- 없음, 해요체로 청자 높임)","청자 유형: 교수·교사(전공 교수) / 주어 유형: 사촌 동생 / 서술어: 합격하다 / 근거: 주어에 -시- 없음, 청자 높임은 -요로만 실현 | 검수수정: context '전공 교수님께' → '전공 교수에게' (P4 규격 '맥락 안에서 -시-나 높임 어휘로 관계를 암시하지 않는다' 위반 — A1 맥락에만 높임 형태 -님·-께가 들어가 청자 지위와 높임 문자열 단서가 겹침. E1·E2 맥락과 같은 서술 방식으로 맞춤) | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
